cluster_id,representative,size,members
33,A0A173DQC4,1,A0A173DQC4
34,A0A5K7R982,3,A0A5K7R982; A0A5K7R9A9; A0A5K7R9H4
35,A0A8A4XCM4,2,A0A8A4XCM4; A0A8A4XCW4
36,A0A482EUQ0,1,A0A482EUQ0
37,A0AAX1PBU4,1,A0AAX1PBU4
38,A0A0E3XUQ8,1,A0A0E3XUQ8
39,A0A8E7G296,1,A0A8E7G296
40,A0ABX6IPC9,3,A0ABX6IPC9; I3W890; Q90125
41,K7S1X4,4,K7S1X4; O71155; Q6SA33; Q90053
42,A0A7L7YQK8,1,A0A7L7YQK8
43,C4P0S3,10,A0A6B9LJ84; A0A6B9LJ96; A0A6B9LJA8; A0A6B9LJV8; A0A6B9LK30; A0A6B9LLE6; A0A6B9LSB6; A0A6B9LUV0; A0A6B9LUX4; C4P0S3
44,A0A218L3Q4,5,A0A218L3P4; A0A218L3Q2; A0A218L3Q4; A0AB74UKM5; R9YVF5
45,A0A8A4XE51,1,A0A8A4XE51
46,A0A8A4XEJ3,1,A0A8A4XEJ3
47,A0A7L7YQI0,1,A0A7L7YQI0
48,A0A6B9R5M4,4,A0A0A0QLR1; A0A2H4YD43; A0A6B9R5M4; A0A7L7YUE1
49,A0A218L3P3,4,A0A218L3N1; A0A218L3P0; A0A218L3P1; A0A218L3P3
50,A0A7M1PW40,1,A0A7M1PW40
51,A0A8E7G2I2,1,A0A8E7G2I2
52,A0A893A8M9,1,A0A893A8M9
53,A0A8A4XDS4,1,A0A8A4XDS4
54,A0A1W5YP65,1,A0A1W5YP65
55,A0A7L7YQM6,1,A0A7L7YQM6
56,A0A7L7YTG1,1,A0A7L7YTG1
57,A0A6M9Z739,6,A0A1C8Z4Q6; A0A6M9Z6L3; A0A6M9Z6M7; A0A6M9Z739; A0A6M9Z7J6; A0A7D7B3Y4
58,A0A8E7L4E0,1,A0A8E7L4E0
59,A0A7D3QM90,1,A0A7D3QM90
60,A0A346BLQ0,6,A0A1L6C3W7; A0A346BLQ0; A0ACD6B585; C7FFS0; Q6GWF2; W8GGS2
61,A0A089X5B1,32,A0A089X5B1; A0A0N7G839; A0A0N9E5B5; A0A0N9QE24; A0A0N9R7N6; A0A0P0IRL3; A0A0U4HT64; A0A140E9M2; A0A140HEY6; A0A193BKY9; A0A1B1ZGB9; A0A223A4I9; A0A2Z0PRJ7; A0A343FLX5; A0A345GSD9; A0A345YTX5; A0A4D6DS12; A0A513ZV86; A0A6G9F987; A0A6G9F9A8; A0A7S6XKX3; A0A866VX97; A0A8E5J858; A5A0V7; A7UMZ7; B8RG46; Q0GJJ6; Q5WNX6; Q5WNY1; Q67666; Q6TY07; Q83289
62,A0A3S9JKK3,1,A0A3S9JKK3
63,A0A8A4XDU0,1,A0A8A4XDU0
64,A0A2H4N9R7,4,A0A2H4N9R7; A0A5B8IGP3; A0AAU6S4Z7; A0AAU7E0S2
65,G1JYZ3,1,G1JYZ3
66,A0A7D3QMM3,1,A0A7D3QMM3
67,A0A218L3N9,1,A0A218L3N9
68,A0A6B9PSI1,2,A0A6B9PSI1; A0A6M9Z857
69,A0A8A4XEI4,1,A0A8A4XEI4
70,A0A9Y1EIH8,1,A0A9Y1EIH8
71,A0A0K1P7U0,89,A0A097PUQ2; A0A097PUQ8; A0A097PUR0; A0A097PUR4; A0A097PUS3; A0A097PUS6; A0A097PUU0; A0A0K1P7U0; A0A0K1P7U4; A0A0K1P7V4; A0A0K1P847; A0A1W5PV80; A0A286MGT5; A0A2H4K9S8; A0A2P0MBD2; A0A2P0MBD6; A0A2P0MBD8; A0A2P0V4J0; A0A2P0V4J1; A0A513ZTR2; A0A513ZTS5; A0A513ZTU1; A0A513ZU14; A0A513ZU42; A0A513ZU79; A0A513ZU87; A0A513ZU95; A0A513ZUF0; A0A513ZUF5; A0A513ZUG6; A0A513ZUH2; A0A513ZUK6; A0A513ZUL3; A0A513ZUP7; A0A513ZUQ9; A0A513ZUS9; A0A513ZUZ7; A0A513ZV21; A0A513ZV82; A0A877XJX5; A0A877XL17; A0A8A4YIN7; A0A8K1X2W8; A9RAI0; B4Y878; B4Y879; B4Y881; B4Y884; B4Y885; B4Y886; B4Y887; B4Y891; B5SUY7; O41855; O56139; Q6JBZ0; Q6JBZ1; Q6JBZ4; Q6JBZ8; Q6JBZ9; Q6JC07; Q6JC09; Q6JC10; Q6JC13; Q6JC15; Q6JC20; Q6JC22; Q6JC24; Q6JC28; Q6JC33; Q6JC34; Q6JC38; Q6JC39; Q6JC40; Q6JC43; Q6JC46; Q6JC52; Q6JC55; Q6JC59; Q6JC63; Q6JC64; Q6JC65; Q808V4; Q808V5; Q808W0; Q808W6; Q808W8; Q808X1; Q808X4
72,A0A2H4RDS3,1,A0A2H4RDS3
73,A0A6M9Z7M2,1,A0A6M9Z7M2
74,A0A8E7G1V7,1,A0A8E7G1V7
75,A0A8E7G287,1,A0A8E7G287
76,A0A097PUP7,4,A0A097PUP7; A0A097PUS1; C0LA97; Q5XXZ6
77,A0A0B5CVI2,1,A0A0B5CVI2
78,A0A8A4XBU6,2,A0A8A4XBU6; A0A8A4XDB7
79,Q6V7U2,4,A0A0G3ZAQ1; A0A0G3ZAR8; C6ZGH1; Q6V7U2
80,A0A2Z4K4X6,5,A0A2Z4K4X6; A0A2Z4K548; A0A2Z4K5C2; A0A2Z4K5C4; E0XJJ5
81,K4NU96,4,A0A097PIK7; A0A097PIL2; A0A097PIM0; K4NU96
82,A0A0G3ZB70,1,A0A0G3ZB70
83,A0A7L7YTV1,1,A0A7L7YTV1
84,U5TU71,1,U5TU71
85,A0A2H4RDS8,3,A0A2H4RDS8; A0A3S7R5E5; A0A3S7R5E7
86,A0A2H4RDT7,7,A0A2H4RDT7; A0A2S0SZ30; A0A2S0SZ41; A0A6M9Z7K1; A0A6M9Z9W2; A0A8A4XEC0; Q2VJ52
87,A0A8A4XE79,1,A0A8A4XE79
88,A0A2H4RDR9,2,A0A2H4RDR9; A0A6B9PR37
89,A0A6M4EJ35,64,A0A0A0VA33; A0A0A0VBY5; A0A0A0VBZ5; A0A0A0VC70; A0A0A0VCX7; A0A0A0VDT0; A0A0A0VG68; A0A0K0KCT5; A0A0M4G4W5; A0A0S2I6S8; A0A0X9UMM5; A0A1L6Z972; A0A1P8DCV2; A0A286R3K4; A0A291EW53; A0A2I7G3V4; A0A2S0SZC4; A0A2S0SZX1; A0A2S0SZX3; A0A2U8Z8U4; A0A385DLD5; A0A386TTZ7; A0A3R5W6J7; A0A451G2W7; A0A4P2TY07; A0A4Y5T7W0; A0A5B8P5I1; A0A5J6DV39; A0A5J6DV84; A0A5J6DV98; A0A5J6DVH1; A0A5J6SG77; A0A649UEA0; A0A649UEF1; A0A649UFH4; A0A6C0W5X9; A0A6C0W7M2; A0A6G6FTW9; A0A6G6FU03; A0A6M3YDP2; A0A6M4EJ35; A0A6M8NBV5; A0A6M8NX93; A0A7H1KVX7; A0A7S4YEN9; A0A7U3NGE2; A0A7U3NGF5; A0A7U3W0M4; A0A891ZRQ9; A0A891ZSL1; A0A891ZSY1; A0A891ZTQ8; A0A8A5L3W5; A0A8F5R554; B2ZFZ0; B2ZG02; G8J9F0; P04863; P89690; Q03726; Q2F2R9; Q2F2U3; Q83292; Q83293
90,A0A6M9Z754,3,A0A6M9Z6N5; A0A6M9Z754; A0A7D3UGP6
91,A0A5C0PVX0,1,A0A5C0PVX0
92,A0A9Y1DYR1,1,A0A9Y1DYR1
93,A0A2Z3D964,1,A0A2Z3D964
94,A0A8A4XEI3,1,A0A8A4XEI3
95,A0A8E7L638,1,A0A8E7L638
96,A0A8A4XDG6,1,A0A8A4XDG6
97,A0A8A4XDN3,1,A0A8A4XDN3
98,A0A8A4XDI4,1,A0A8A4XDI4
99,A0A173GP52,1,A0A173GP52
100,R9TI88,2,R9TI88; T2C673
101,A0A7M4BC41,1,A0A7M4BC41
102,A0A891EZE5,1,A0A891EZE5
103,A0A5C1K345,1,A0A5C1K345
104,A0A5H3CIS3,1,A0A5H3CIS3
105,A0A8E7G1R2,1,A0A8E7G1R2
106,A0A893A4V8,1,A0A893A4V8
107,A0A7L7YQQ4,1,A0A7L7YQQ4
108,A0A8E7L4R8,2,A0A8A4XC50; A0A8E7L4R8
109,A0A7M4BC43,1,A0A7M4BC43
110,A0A7L7YTL2,1,A0A7L7YTL2
111,A0A7M4CBH7,1,A0A7M4CBH7
112,A0A2H4RDS2,1,A0A2H4RDS2
113,A0A8A4XE67,1,A0A8A4XE67
114,A0AAT9TXU0,5,A0A1W5PPU6; A0AAT9TX86; A0AAT9TXU0; A0AAT9TYD5; A0AAT9TYI1
115,A0A0G3Y3I6,5,A0A0D3MC97; A0A0D3MD62; A0A0G3Y3I6; V5K6X2; V5K7G0
116,A0A7G8YXA4,1,A0A7G8YXA4
117,A0A8A4XED7,1,A0A8A4XED7
118,K7QLX2,24,A0A1B1W6H0; A0A481MSK2; A0A513RAU6; A0A5B7PSK5; A0A6G5P6M5; A0A6G5P7B0; B5A1X7; E2D6T3; E2D6U3; E2D6U8; E2D6X8; H9U7C5; H9U7C9; K7QLX2; K7QM17; K7QM67; K7QMB2; K7QMU7; P33484; Q32Z64; Q32Z69; Q32Z78; Q6TPD7; X5CV53
119,Q9QCZ5,1,Q9QCZ5
120,A0A8A4XE16,2,A0A8A4XDQ7; A0A8A4XE16
121,A0A146GE51,1,A0A146GE51
122,A0A8A4XCZ0,1,A0A8A4XCZ0
123,A0A8A4XD73,1,A0A8A4XD73
124,A0A8E7G2I3,1,A0A8E7G2I3
125,H9XTL4,1,H9XTL4
126,A0A0D3MD90,1,A0A0D3MD90
127,A0A1Z3FVL8,18,A0A1Z3FVL8; A0A1Z3FVN9; A0A1Z3FVQ3; A0A1Z3FVQ4; A0A1Z3FVR0; A0A1Z3FVS6; A0A1Z3FVS7; A0A1Z3FVT4; A0A1Z3FVT5; A0A1Z3FVU2; A0A1Z3FVU4; A0A1Z3FVU7; A0A1Z3FVV7; A0A1Z3FVV9; A0A1Z3FVW4; A0A1Z3FVW5; A0A1Z3FVX7; A0A5J6BCZ8
128,A0A7T1KN64,2,A0A7T1KN64; G8GWG7
129,A0A8E7G2F6,1,A0A8E7G2F6
130,A0A068B169,19,A0A068B169; A0A0C5BD19; A0A0D3MCN1; A0A2H4RDR4; A0A2S0SZ26; A0AAT9TXD9; A0AAT9TXY8; A0AAT9TYN5; B7U6W7; B7U6Y5; J9RUE2; P03137; P36310; P88901; Q1AE04; Q1AE10; Q1AE16; Q84207; Q8JV27
131,A0A193AUM5,2,A0A193AUM5; A0A193AUM7
132,C5IY56,31,A0A068B3K1; A0A0U2IRG3; A0A159AS09; A0A161BUW1; A0A161BZC9; A0A1C3S137; A0A1C3S1B2; A0A1X9Q921; A0A2I6SHR1; A0A2I6SHR5; A0A2I6SHR8; A0A2P1BV03; A0A3G1I8J9; A0A517FM25; A0A650FP04; B9UYK7; B9UYL1; B9UYL5; C1IWT2; C5IK00; C5IY36; C5IY41; C5IY46; C5IY51; C5IY56; D3JUA0; D7P2U0; D7P2U4; D9ZK38; G7Z036; R4KX04
133,N0ADA5,1,N0ADA5
134,A0A076JU08,14,A0A076JU08; A0A076JVD2; A0A0G2YQE0; A0A346D7F1; A0A346D7F8; A0A346D7G0; A0A346D7G3; A0A5J6KHC3; A0A649UEA1; A0A649UEC9; A0A7D4WAT6; A0A7D4WWF4; A0A7M1Q5I2; U5YQG2
135,A0A097F8R4,1,A0A097F8R4
136,A0A0D3MCE2,4,A0A0D3MCE2; L7WI67; R4L1H5; R4L1I0
137,A0A0D3MCF4,1,A0A0D3MCF4
138,A0A0D3MD85,2,A0A0D3MD85; I3VR60
139,A0A0E4B1Y8,2,A0A0E4B1Y8; A0A0S2XGD8
140,A0A0U2IDK2,7,A0A0U2IDK2; A0A221LED1; A0A345CKG8; A0A345CKH2; A0A3G2KUM7; Q5R2A5; Q8QQV5
141,A0A0Y0B7Q6,4,A0A0Y0B7Q6; A0A0Y0B7S8; A0A346GC51; A0A346GC57
142,A0A165EK78,20,A0A165EK78; A0A1W5PTE2; A0A2U8CR82; A0A514EJ05; A0A514EJ10; A0A514EJ18; A0A514EJ24; A0A514EJ27; A0A514EJ31; A0A514EJ34; A0A5B9BGY1; A0A5B9BH75; A0A6H0Y6R4; A0A6H0Y6S7; A0A6H0Y6T7; A0A6H0Y6X1; A0A6H0Y7A1; A0A6H0Y7B0; A0A7L8UW48; A0AAE9NTL5
143,A0A1B1V539,1,A0A1B1V539
144,A0A1B3IIH5,1,A0A1B3IIH5
145,A0A2H4N9S6,1,A0A2H4N9S6
146,A0A2H4RDR3,3,A0A2H4RDR3; A0A2H4RDT8; A0A2S0SYZ4
147,A0A2H4RDR8,2,A0A2H4RDR8; A0A3G5ECH6
148,A0A3G5BC29,6,A0A3G5BC29; D7RF53; D7RF57; F8RWB8; W8GNE1; W8GSU4
149,A0A513PZC9,86,A0A513PZC0; A0A513PZC9; A0A513PZD7; A0A513PZE6; A0A513PZF5; A0A513PZF6; A0A513PZH5; A0A513PZI6; A0A513PZI9; A0A513PZK0; A0A513PZK6; A0A513PZL0; A0A513PZL6; A0A5B9GAM3; D7RF27; D7RF30; F5BIF1; F5BIF2; F5BIF3; F5BIF4; F6M090; F6M094; G3EZE3; G3EZE7; G8E3W6; G8E3X0; H2DKZ6; J7F4F3; M9TGF2; W8GNB3; W8GNC5; W8GNF2; W8GNL2; W8GNL8; W8GNM1; W8GNM6; W8GNN1; W8GNN6; W8GNP1; W8GNP7; W8GNQ6; W8GNR2; W8GNR3; W8GNR9; W8GNS7; W8GNU0; W8GNV6; W8GP28; W8GP34; W8GP38; W8GP42; W8GP48; W8GP50; W8GP55; W8GP60; W8GSP8; W8GSR6; W8GSS8; W8GT20; W8GT29; W8GT38; W8GT44; W8GT50; W8GT55; W8GT62; W8GW84; W8GW99; W8GWJ2; W8GWJ8; W8GWL4; W8GWM7; W8GWN2; W8GWN8; W8GWP3; W8GWP8; W8H1C9; W8H1E6; W8H1L8; W8H1M3; W8H1M7; W8H1N2; W8H1P3; W8H1Q2; W8H1Q9; W8H1S1; W8H1S5
150,A0A8F7CG47,4,A0A8F7CG47; A0A8F7GP25; A0A8F7GPE8; G9ID12
151,A0A9E8LRF1,4,A0A9E8LRF1; A0A9E8LRF3; A0A9E8LRG1; A0AAX2ZAC8
152,A0AAE8BDF3,1,A0AAE8BDF3
153,A0AAU7DZP8,1,A0AAU7DZP8
154,A0AAU7GIY5,5,A0AAU7GIY5; A0AAU7LL40; A0AAU7LL49; A0AAU7LL52; A0AAU7LMN1
155,G1JYW4,3,G1JYW4; G1JYY1; G1JYY5
156,M1NNZ2,2,A0A291L0S9; M1NNZ2
157,A0A0D3MCA2,6,A0A0D3MCA2; A0A0D3MCB1; A0A0D3MCE7; A0A0D3MCF1; A0A0D3MCN5; A0A0D3MCP2
158,A0A0U3BGQ5,1,A0A0U3BGQ5
159,A0A1B0VBP3,13,A0A1B0VBP3; A0A1B0VBQ6; A0A1B0VBZ3; A0A1B0VBZ8; A0A1B0VEL1; A0A1B0VGA7; A0A1B0VJ47; A0A1S5VGK8; A0A4D6TZ79; A0A649XWI4; A0A649XWW2; I6WMZ1; I6XK65
160,A0A221LED6,1,A0A221LED6
161,A0A481W6I6,2,A0A481W6I6; A0A481W736
162,A0A8A4XC32,1,A0A8A4XC32
163,A0A2H4X1Y6,1,A0A2H4X1Y6
164,A0A0D3MD72,1,A0A0D3MD72
165,A0A7D5NPQ3,3,A0A0G2Y784; A0A0H4FKS5; A0A7D5NPQ3
166,A0A8A4XD89,1,A0A8A4XD89
167,A0A8E7G268,1,A0A8E7G268
168,A0A6M9Z8Q6,1,A0A6M9Z8Q6
169,A0AB33V9A8,1,A0AB33V9A8
170,A0A8A4XDA6,1,A0A8A4XDA6
171,A0A8A4XDM5,1,A0A8A4XDM5
172,A0A8A4XDT6,1,A0A8A4XDT6
173,A0A8A4XE43,1,A0A8A4XE43
174,A0A6M9BK74,1,A0A6M9BK74
175,A0A7D3V1E8,2,A0A7D3V1E8; A0AB74UK92
176,A0A8A4XDL0,1,A0A8A4XDL0
177,F2QKS1,1,F2QKS1
178,A0A8A4XE45,1,A0A8A4XE45
179,A0A126GA90,1,A0A126GA90
180,A0A8E7G2H3,2,A0A7M1PWM5; A0A8E7G2H3
181,A0A8A4XCL7,1,A0A8A4XCL7
182,A0A7D3QKG6,1,A0A7D3QKG6
183,A0A8A4XED1,2,A0A8A4XED1; A0A9Y0ZFE9
184,A0A8E7L4S1,1,A0A8E7L4S1
185,A0AAU7DZN4,1,A0AAU7DZN4
186,A0A8A4XDB8,1,A0A8A4XDB8
187,A0A6M4C6I4,1,A0A6M4C6I4
188,A0A8A4XDG5,1,A0A8A4XDG5
189,A0A8A4XDN7,1,A0A8A4XDN7
190,A0A223PQZ8,1,A0A223PQZ8
191,A0A411D394,1,A0A411D394
192,K4ERG3,1,K4ERG3
193,A0A8A4XE25,1,A0A8A4XE25
194,A0A4D6V132,1,A0A4D6V132
195,J9PP74,1,J9PP74
196,A0A7D4ZYM8,1,A0A7D4ZYM8
197,A0A8E7L5M5,1,A0A8E7L5M5
198,A0A7D6C7J6,2,A0A6B9KGY0; A0A7D6C7J6
199,A0A8A4XCD5,1,A0A8A4XCD5
200,A0A8A4XCK5,1,A0A8A4XCK5
201,A0A8E7G216,1,A0A8E7G216
202,A0A7D3UK49,1,A0A7D3UK49
203,A0A8A4XDA8,1,A0A8A4XDA8
204,I7EWE6,7,A0A097IYI6; A0A7G8LSG0; A0A8E7G2D5; I7EWE6; J7GME5; Q8V0M6; Q8V5A7
205,A0A8A4XBW0,1,A0A8A4XBW0
206,A0A8A4XE17,1,A0A8A4XE17
207,W6JIY5,1,W6JIY5
208,A0A221LEC4,1,A0A221LEC4
209,A0AAN0N7G7,2,A0AAN0N7G7; Q6JK77
210,H9XTL3,1,H9XTL3
211,A0A8E7L4R2,1,A0A8E7L4R2
212,A0A8A4XDR4,1,A0A8A4XDR4
213,A0A8E7G1S3,1,A0A8E7G1S3
214,Q9EMU8,3,A0A916P1B2; A0ABM9QKG8; Q9EMU8
215,A0A8A4XEG4,1,A0A8A4XEG4
216,A0A8A4XEL5,1,A0A8A4XEL5
217,A0A916KQE0,1,A0A916KQE0
218,A0A8A4XEH5,1,A0A8A4XEH5
219,V5KE12,1,V5KE12
220,A0A916KP27,1,A0A916KP27
221,A0A8A4XBX4,1,A0A8A4XBX4
222,A0A8A4XC69,1,A0A8A4XC69
223,L0CSX6,1,L0CSX6
224,Q9YW13,1,Q9YW13
225,A0A8A4XCK0,1,A0A8A4XCK0
226,A0AB74UJF0,1,A0AB74UJF0
227,A0A6B9KP58,1,A0A6B9KP58
228,A0A2H4QX14,1,A0A2H4QX14
229,R4SDX9,1,R4SDX9
230,H9XTL0,1,H9XTL0
